Table 1 
Literature Constraints on the IMF Slope


	Cluster	log (N)	log (M_max, obs/M_comp)	alpha	sigma	Min. Mass	Max. Mass	$\frac{\Delta \alpha _{{\rm literature}}}{\Delta \alpha _{{\rm theory}}}$	Reference
64	NGC 2439	1.3	0.3	1.6	0.14	7.1	14.1	0.15	Tarrab (1982)	
65	NGC 1893	1.28	0.81	2.6	0.3	10.0	65.0	0.7	Massey et al. (1995a)	
66	IC2581	1.26	0.64	2.07	0.36	3.2	14.1	0.61	Tarrab (1982)	
67	NGC 1528	1.26	0.45	1.15	0.03	2.0	5.6	0.04	Tarrab (1982)	
68	NGC 2482	1.26	0.51	4.33	0.95	2.2	7.1	1.26	Tarrab (1982)	
69	NGC 2251	1.2	0.49	2.36	0.49	1.6	5.0	0.6	Tarrab (1982)	
70	NGC 6242	1.2	0.5	2.15	0.39	4.0	12.6	0.48	Tarrab (1982)	
71	NGC 2232	1.2	0.6	2.73	0.63	2.0	7.9	0.92	Tarrab (1982)	
72	NGC 6531	1.2	0.76	1.94	0.34	2.5	14.5	0.66	Tarrab (1982)	
73	NGC 1664	1.18	0.26	3.62	0.96	2.5	4.5	0.9	Tarrab (1982)	
74	NGC 581	1.18	0.35	3.09	0.78	6.3	14.1	0.78	Tarrab (1982)	
75	NGC 7790	1.15	0.45	2.44	0.54	4.5	12.6	0.58	Tarrab (1982)	
76	NGC 3590	1.15	0.4	2.07	0.36	5.6	14.1	0.37	Tarrab (1982)	
77	NGC 6709	1.15	0.2	1.98	0.28	3.5	5.6	0.25	Tarrab (1982)	
78	NGC 6871	1.11	0.35	2.18	0.4	5.6	12.6	0.38	Tarrab (1982)	
79	NGC 5281	1.11	0.46	2.02	0.36	3.5	10.0	0.38	Tarrab (1982)	
80	NGC 2169	1.08	0.6	1.74	0.27	2.8	11.2	0.35	Tarrab (1982)	
81	NGC 1502	1.08	0.4	1.56	0.18	5.6	14.1	0.17	Tarrab (1982)	
82	NGC 1342	1.08	0.36	3.46	1.05	2.2	5.0	0.96	Tarrab (1982)	
83	NGC 2244	1.08	0.85	1.8	0.3	10.0	70.0	0.55	Massey et al. (1995a)	
84	NGC 6871	1.04	0.6	1.9	0.4	10.0	40.0	0.51	Massey et al. (1995a)	
85	NGC 7380	1.04	0.81	2.7	0.3	10.0	65.0	0.51	Massey et al. (1995a)	
86	Berkeley86	1.0	0.6	2.7	0.4	10.0	40.0	0.49	Massey et al. (1995a)	
87	NGC 2323	0.9	0.2	4.42	1.73	5.0	7.9	1.36	Tarrab (1982)	
88	NGC 6913	0.78	0.6	2.1	0.6	10.0	40.0	0.72	Massey et al. (1995a)	
89	CepOB5	0.78	0.48	3.1	0.6	10.0	30.0	0.59	Massey et al. (1995a)	
Notes. The literature IMF studies used in this paper. We have tabulated the number of stars (Column 3) over the given mass range (Column 4), and the reported values of alpha (Column 5), where all values have been updated to reflect our usage of alpha_Salpeter = 2.35 and the 1sigma uncertainty on alpha (Column 6), allowing for a direct comparison with our calculated theoretical lower limits. The values in Column 9 have been computed using the 1sigma value listed in the literature, i.e., Column 6 in this table, and the theoretical precision is presented in Figure 8. As shown in Figure 9, nearly ~3/4 of the literature considered quote error bars smaller than the theoretical lower limit.
