Nstars,alpha_true,Mmin,Mmax,alpha_fit,alpha_err
1.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.397197690088834321e+00,4.560801795444208856e-02
1.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.470646849750449459e+00,4.686446920017504209e-02
1.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.449370902797914251e+00,4.636742001987652351e-02
1.000000000000000000e+03,2.399999999999999911e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.346166758652995288e+00,4.523740479578625823e-02
1.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.390243818702339151e+00,4.550760892739520030e-02
1.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.576785823242639495e+00,5.080148706157190663e-02
1.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.534083744395477567e+00,4.938933778187870605e-02
1.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.559551721792548307e+00,4.961981284300019668e-02
1.000000000000000000e+03,2.600000000000000089e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.563682662628803843e+00,5.215976244295682240e-02
1.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.586100397505131543e+00,5.164026898921724590e-02
5.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.809741024023759248e+00,1.426626561882461501e-02
5.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.804253198752604481e+00,1.287397068575054163e-02
5.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.806574047637587332e+00,1.234249382025760094e-02
5.000000000000000000e+03,1.800000000000000044e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.787110281020203084e+00,1.501404887294132025e-02
5.000000000000000000e+03,1.800000000000000044e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.781521960930577020e+00,1.412855687852948919e-02
5.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.020564498938649756e+00,1.623053775416476163e-02
5.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.989259300035144840e+00,1.475728624594041354e-02
5.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.990448508270155070e+00,1.446901963709997657e-02
5.000000000000000000e+03,2.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.997402558680299034e+00,1.690329149357475136e-02
5.000000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.008828983430754000e+00,1.652225340560787084e-02
5.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.207856854920436263e+00,1.832679372518150260e-02
5.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.156004104468301819e+00,1.684380727199326008e-02
5.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.200305156719116972e+00,1.749755728347809902e-02
5.000000000000000000e+03,2.200000000000000178e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.223982805177227018e+00,1.907589105232837881e-02
5.000000000000000000e+03,2.200000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.197449985573435960e+00,1.798070271871507475e-02
5.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.397091077028691064e+00,2.054634782821017011e-02
5.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.394565689782205631e+00,1.999905707243496839e-02
5.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.452645171091970333e+00,2.059540115729487780e-02
5.000000000000000000e+03,2.399999999999999911e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.420984415501902909e+00,2.118226918493381489e-02
5.000000000000000000e+03,2.399999999999999911e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.405727207267145396e+00,2.092108216888509745e-02
5.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+01,2.619099115898388064e+00,2.353353635100940630e-02
5.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.579148966098971041e+00,2.238430699444729499e-02
5.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000056e-01,1.000000000000000000e+02,2.580612454944285705e+00,2.249182765814653970e-02
5.000000000000000000e+03,2.600000000000000089e+00,5.000000000000000000e-01,3.000000000000000000e+01,2.567564214754709084e+00,2.308233877659029987e-02
5.000000000000000000e+03,2.600000000000000089e+00,1.000000000000000000e+00,1.000000000000000000e+02,2.563223570214510527e+00,2.262007211164906648e-02
2.000000000000000000e+04,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.804552174508130102e+00,6.958897498695039603e-03
2.000000000000000000e+04,1.800000000000000044e+00,1.000000000000000056e-01,3.000000000000000000e+01,1.803726793383283233e+00,6.362214743036513978e-03
2.000000000000000000e+04,1.800000000000000044e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.798290273144573792e+00,6.048538304998524705e-03
2.000000000000000000e+04,1.800000000000000044e+00,5.000000000000000000e-01,3.000000000000000000e+01,1.789310330495082813e+00,7.575586070012270759e-03
2.000000000000000000e+04,1.800000000000000044e+00,1.000000000000000000e+00,1.000000000000000000e+02,1.809513671966772597e+00,7.072897177991379312e-03
2.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.999073503793962869e+00,8.016175301976737402e-03
2.000000000000000000e+04,2.000000000000000000e+00,1.000000000000000056e-01,3.000000000000000000e+01,2.014802027808565210e+00,7.609979389996812844e-03
